date,reviewID,reviewerID,reviewContent,rating,usefulCount,coolCount,funnyCount,flagged,restaurantID
6/8/2011,0CGhvFOwpS6c4HIOWGQjEA,_Pyq0VeFjBzN6oaFNZyjTQ,"WOW...I am so surprised by how much I didn't care for the chicken at Crisp..It's not that I don't enjoy greasy fried chicken,,,,cause I do..but I normally avoid eating it, like at KFC, but had the desire to eat some fried chicken(maybe feeling anxious..I don't know).  Anyway, I got the Plane Jane and a soda pop..1/2 chicken was the smallest I could get..It cost over $10 which was amazing to begin with.That's alot for fried boney chicken. I then sat down yesterday, Tuesday, and sat at a picnic table that was shared with other people around lunch. We all had to share these brown paper towel rolls, all with other people's greasy fingers on them as well...Im not a fancy person, but having my own individual napkin is like a minimum eating need that I have at a restaurant..Maybe this is how they do it in Korea, but not COOl at all..or sanitary.   So,,the chicken was just completely unremarkable..Just crispy fried chicken..a little peppering I think..but just chicken..Not bready like KFC, just skin on chicken fried up.   Maybe I should have added a few hundred more calories and got it with the BBQ or Seol sassy sauce to hide the taste of the chicken, but blowing my diet on fried chicken was bad enough. I ate about half, and threw out the rest.     I would give the food a 1 star,,overpriced and not good. The servicewas friendly and fast, so that bumps up this BIG let down to a 2 star.   WOW........",2,0,0,0,1,WBU0yq9J8qiYQfI_fh2P1Q
7/31/2011,pBHMf0iIiCVPJRE0ixPQvA,ickZU5NF-0UvYsj4Mi6wgw,"The other reviewers are correct that this has a touch of the Cheesecake Factory about it. It is what it is. But that is not necessarily a bad thing. Shopping on MM with a friend from out of town and the windows of the Grand Lux Cafe looked mighty inviting from down there. So off we went in search of salad and iced tea. Simple Simon. What we were told would be a 25 minute was actually closer to 18 minutes.  And we snagged seats in that big bay window.  So far, so good. We both ordered salads and somewhere along the line, something happened. It took 31 minutes to get our food. We were mildly annoyed but our server owned up to the fact that there had been a mis-communication and offered his apologies. A simple ""I'm sorry"" goes a long way with me. On his heels was the manager, who also apologized. Nice. I enjoyed a lovely grilled shrimp caesar salad (shrimp grilled perfectly) and a raspberry lemonade that tasted freshly made (meaning not from a mix). Then our server came back and told us the manager wanted to buy us dessert to thank us for our understanding. Key Lime Pie!  Bueller?  Anyone? That was a really lovely gesture and it added a star to this review. We weren't looking for anything fancy.  just a nice lunch.  We got that. And good customer service as well. I look forward to going back.",3,1,0,1,0,4wreIFjaPMppyEnzKHbozg
3/23/2009,HfnTl-Yj1Blp7abbe4,aiWlaHWNvr99nZaI9pmyMQ,"I was really torn what to rate Publican. On the one hand, some of the food was insanely good - the smoked trout was unbelievable, and the pork belly amazing. Some food was pretty good - the ribs were good, but overcooked (although the flavor made up for the slightly tough texture), the ham was good, but I have had better, and the oysters were good, but only insofar as they were good for Chicago standards. I suppose my biggest beef was the price - the food was good, but local produce should be good and flavorful - but the mark-up was insane. What let them down the most, though, was the service - absolute, total incompetent crap service. Our server ignored us for most of the night and when he did bother with us (we were a table of 10) he had us confused - we had worked out what we were going to share and what we were not, and told him so, yet he kept asking ""for the table or for yourself"" and ""the man over there already ordered that."" He also took 3 orders and left, and we had to go after him to tell him that 3 orders for 10 people was not sympatico. Then when the food came out it was a disaster - the dude who brought it to the table stood at the end whispering (literally!) ""who had the oysters"", when I said I didn't know, he'd have to ask up the table he just stood there and then loaded the food all in front of me! My husband also had to order his drink 3 times before it turned up. Publican - work it out - you have the potential to be good, don't screw it up with screwy servers. I won't be going back for a while that's for sure.",3,0,0,0,0,LMaoM2Ue2BR_HI9ba3JsZg
7/24/2009,5AX-_o61oOffFryNFDnv4g,7nm9F3Ifh6UeQJ8LqcBYKw,"I go to the Oyster bar about once a week with my boyfriend. Obviouslyif we go every week we LOVE this place. They know our names and I feel like family whenever I walk in. Needless to say the food is fantastic. I have yet to order something and be disappointed. Oh, and the oyster shooters are top notch. Be careful though, they are powerful and deliver quite the kick.Yummm",5,0,0,0,1,dKcO9OQ44RPRlkWe-vToFA
10/10/2011,PKKAmMkhH3dk_ggJDQOsJg,G1luD4brl6yGKNQay47YRw,"Tried Revolution Brewing Co. last Friday night and loved it!   The beer selection was great, and our server was happy to offer ideas and suggestions.  The bacon popcorn was great and very unique!  In fact, the entire menu offered unique selections that were a refreshing change from the usual.Even though it was packed, we had a beer at the bar while waiting and the hostess came and found us, remembered my name, and got us a great table.   We will definitely be back!",5,0,0,0,1,OKOfoisduqP24uK3WYvx7Q
8/4/2012,8QOBnEMPME-rkWJG3t1AtA,078EfkKnxhFs4X38YB_1DA,"My date really wanted to have dinner at Sunda because she loves the food. I have never been there before and heard great things so thought I'd give it a go. We arrived around 7:30 PM on a Friday so I knew it would be busy and didn't expect to be seated for a long time. The Hostess was very nice and said we may dine at their communal tables or at the bar. We said ""thanks"" but prefer a table reservation and asked about the wait. She said it would be 40 minutes (which was awesome) and entered my name and telephone # in their system. We went to the bar and waited for our table. Here's where Sunda dropped the ball. An hour later, I went over to find our hostess to inquire about our reservation. She said our table will be ready shortly. After another 20 minutes I went back to our hostess to inquire about our table only to have her say we have NO RESERVATION and the only time she can accommodate us is at 10:30 pm. This was a Twilight Zone experience and a total insult so I asked to speak with the Manager. The Manager didn't even look in the system and said ""yep"" we can get you in at 10:30pm. I asked about my name and telephone # in the sysem.... and she said we dont have a reservation for you! I asked my date if I misheard something and she said ""no, the hostess said we would be seated in 40 minutes"" Knowing this was going nowhere (and  basically being called a liar) we decided to take our business elsewhere and will tell everyone about our less than spectacular experience. So crazy. Usually people write bad review AFTER they sit down and eat. LOL. If we knew we would be seated at 10:30pm....WHEN WE ARRIVED AT 7:30pm... we would have never went to the bar to have overpriced drinks. Good stuff Sunda!",1,0,0,0,1,8d_DiHWB-pjBVW3a7D8EWg
3/8/2007,y8_FAOVmQP0F0vbhgxkWxg,S3Dnc8F00c4hk8lepYWz5Q,I liked it very much ! great food and service.,5,0,0,0,1,pbEiXam9YJL3neCYHGwLUA
9/24/2011,ropSLOZubLzIOjGiZQKeIA,Wx2kYAquNsdrzC1c_jj0jw,"I've been here many times and the service is always stellar, which is not that common any more.   Atmosphere is warm and comfortable with great lighting.  I didn't like the scotch egg but the mussels were great and so was the Gage burger.Always has a good crowd and the location is great by the park.",4,0,0,0,1,vvhfPV-Llkd4fE2SHuLVvA
4/9/2011,DeZWe5Uzdmi8kL5fXpjmRQ,dNSrk2va4SPR7aBTbBhsxA,"I probably would have given Zed 5 stars but I reserve those for amazing culinary experiences (i.e. L20, etc.). I found Zed's dinner service to be fantastic, I found the meat and options (salad bar) to be way better than a fogo de chao and other brazillian steakhouses I have been to.  As good of quality meats, and more options (it's a bit pricey but worth it for a nice night - or out on the company card). But i REALLY love their market cocktails.  Yes they are expensive, but truly some of the best tasting cocktails I have ever had (and I work for a liquor company).  The infused bourbon lemonade it just amazing.",4,0,0,0,0,d6UbRb9W5eA1yL-DuVZ8ug
11/18/2011,BfQyjBlEx-mTdwfWQmxp3g,YduLlkUNjhiDJ8auqtTWSA,Great restaurant/service. The food is fantastic ;),4,0,0,0,0,LMaoM2Ue2BR_HI9ba3JsZg
1/9/2007,Uk9GQ1JLFnOJjOpUlA8jJA,GbKWOUGwVsHE5jQ-hhL6xA,"you go on Saturdays at 12am, it's great.. see you soon",5,0,0,0,1,t3pYu8eidmb2ZmexHRHT_Q
5/13/2008,0AFKdEyY5OQIayw1NkeB8g,xKD6xH0ga9KsMXDIwz2MCw,"IT'S BACON! BACON BACON BACON BACON BACON! If you could've heard my inner monologue as I devoured Fifty/50's incredible BBBLT, I would've sounded like the dog from the Beggin' Strips commercial.  I could deal without the extra piece of bread in the middle, but I was in hog heaven and no extra piece of bread could distract me from this homage to bacon and all its smokey goodness. Also, Fifty/50 has officially become my new destination for their mouth-watering sweet potato fries.  Not too crisp, not too soggy, and seasoned just right.  To top it all off, our server was friendly, polite, fast, and proactive about getting us refills.   I'll definitely be back!",4,10,11,19,0,6gZTET0y7ARZMrbJRmI2mw
4/20/2009,WAYxeOkYqSIOnHP328mc7g,n2UsVjISE1nOow63cm3auQ,"This little Piggy went to Fulton Market... I am one big food whore. And last week, I got porked. Hard. Oh, Publican. I've been longing to experience you for so long, and I didn't even know what you had in store. This place was all the rage on Yelp and beyond, so it mattered not what was on the menu -- I had to try it. But I couldn't afford it myself, so naturally I had to wait until a date suggested we try it. Glorious, that worked out for me. (God, I really AM a food whore.) When I found out the menu featured beer, shellfish and pork, I was actually a little nervous. Three things I know next to nothing about and rarely seek out on my own. But I went with a capable companion who was practically a pro. We skipped the oysters and seafood entirely, so we could focus on the main event: oink, oink, oink. (Note: If you're vegan, what the HELL are you doing within five blocks of Publican? Get a clue and go to Handlebar or something.) We had the ""pickles,"" which date liked best but I found a bit revolting, a platter of three different hams, a pork shoulder and chorizo stew, sauteed ramps with mint and walnuts, and a beet salad that was beets and aioli. Andthatsit. From the crusty bread and fabulous butter that started the meal to the last bite of beet, the food was nice, with great flavor. (Another note: If you don't like salt, run away. Now. I'd personally eaten a Lean Cuisine at lunch and was just getting started with my sodium intake.) We also had a big bottle of beer -- inhumanly large, really; only wine should come in containers that big -- that went nicely with everything we ate. But I could have been drinking anything and thought it paired well. So. Overall, I did enjoy the Publican for the experience. The decor took barnyard chic to a new level; I found the ""booths"" along the restaurant's perimeter especially entertaining (the tops of the patrons' heads were BARELY visible over their stable-door confines). And there were paintings of abnormally large hogs adorning the walls. You can read any number of other reviews for more insight on the interior. My biggest beef (er, pork?) with the Publican: the crowd. I say this with as much love as I can muster, but the place seemed full of trend whores. And not in the charming, curious way that I am (though I may be biased). I didn't feel cool enough to be at Publican. The high-top tables, corral-style booths and long, communal tables were all filled with incredibly fashionable, incredibly loud people. They were jovial and obnoxious and, though they waved at me from down the table when we were seated, clearly did not give one shit that they made normal conversation completely impossible for the rest of us. Meaning me. As I write this review, it seems I am growing less and less excited about the Publican, so I'm going to end this on a high note. Despite the fact that I couldn't figure out which stall to use in the semicommunal bathroom area, they did have soap and hand lotion from C.O. Bigelow near the cleaning troughs. I mean sinks. Still, I went weeeeeeeeee, wee, wee-wee-wee-wee ALL the way home.",3,12,11,15,0,LMaoM2Ue2BR_HI9ba3JsZg
9/16/2010,H4aepQa7VWPiLAkr3acduQ,SM4SHdU8GP_tyiwTSwrTWg,"Been coming here for years for dinner and at 3AM after late night drinking and it never lets you down. Want the ultimate fat kid meal? The Boodae Jigae(ramen caserole with spam, bacon, beef, hot dog, tofu, and vegetables) has changed my life.",5,0,0,0,0,_n3OmwreEGPQmiHKklsD8w
10/3/2008,cWtFouElpvOnnLB3d6ndKw,D8nc5OHLzfE6rj__Now2Xw,"Okay, so yeah, Wakamono is one of those trendy, pretentious-looking joints where the decor is sleek, the music is hip, and the waitstaff are cute (but perhaps lacking in actual waiting skills).  But as far as aesthetics go, they really have fashioned this place into a beautifully adorned sushi lounge.  Now there is a side bar area that takes you back to those opium-filled dens in Saigon, only there was a disappointingly absent amount of opium in said bar. As for the food, this is really some good sushi.  I don't know what the nay-sayers are harping on.  I mean, the fish here is of very high quality.  You really can't run a sushi restaurant on this main drag of Broadway and be shelling out tainted flounder-- too many people would know in a short period of time that the best sushi place in Boystown sells rotten goods. I'm sure some rolls are better than others, but so far the Emerald Roll is my fave.  I think it was salmon, avocado, tempura crunchy goodness, and wasabi mayo on top.  Not exactly healthy, but thank God they've learned to adapt to Americans' desires for rich, hyper-caloric food everywhere we go. One appetizer dish that you will probably glaze over on the menu, but is fantastic, is the shitake mushroom, gluten, and tree fungus plate.  I know, doesn't that sound appetizing?  Well, it may sound like they're selling a pile of crap, and when it comes out, it does kind of resemble a mound of dog doo, but trust me, this is some tasty fung.  Anyone who loves mushrooms will have to love this.  Last time we ordered a second plate it was so good. So in conclusion, leave your snobbish east and west coast perceptions of what is cool and good at the door.  This place isn't trying too hard, it's just trying to not be like every other sushi bar that resembles the interior of a 19th century Japanese bath house.  The food is divine, and I think we can all deal with a $5 corkage fee, no?",5,1,1,0,0,1QKqtC4vML3QhkrSzwR_tQ
12/12/2008,I2AyPdFskPyUFTnU8XaiOA,WaA60_yAgxg7XEk5bqLSpw,"Took my mom here for brunch. I had the goat cheese omelette, she had the oatmeal brulee. We shared the Gage potatoes. Service was a bit slow. Otherwise, it is a great addition to this area. I was glad to have a more upscale non-chain option.",3,0,0,0,1,vvhfPV-Llkd4fE2SHuLVvA
1/27/2010,04ODoN46e2RK23saVfUZhg,R-_Uhnq9A4BqL8sH_QULoQ,"This is a hard one.. 5 years ago the pizza was mainly cheese/My Fav Pizza, now its mainly DOUGH with a little topping of cheese? I know the price of cheese has gone through the roof but come on!! It's still good just not what it used to be.. also a tad on the pricey side. Delivery however is ALWAYS Piping Hot.. Sorry!!",3,0,0,0,0,DXwSYgiXqIVNdO9dazel6w
8/24/2012,AhgHeCpKWN0O2JtPHXkT7A,aGP3cCcvyua-gTpjLYHhZw,"Great place to grab a drink and eat.  They have good specials too.  My roommates and I just moved a block away and we bring guests to this place too.  They also have good vegetarian selections if you are vegetarian.  The staff is very nice and friendly.  I gave it 4 stars only because it tries to act hard with it's heavy metal music and hardcore decor.  The patrons and the staff are all very friendly, so I like it either way.",4,0,0,0,1,oCTlReyKjJxKPFYfCurxxQ
1/4/2012,kfWG2Rva8n60t3yWT0GhPA,hpbivIwMNullccw0TVMogg,"I would give them 6 stars if possibleI first met Kim and her brother, the owners when I was a student at Loyola and they had a modest storefront place on Chicago Ave. �Can't believe that if was over 25 years ago. Then one day as I was meandering down Lincoln Avenue, there it was Simply It.I was treated like royalty. The wait staff is so kind. It wasn't until I went to pay the very reasonable bill for the tremendously fresh and good food that I realized who the owners were. What a nice re-union. I have consistently ordered delivery for family and friends visiting at home as well as with friends at the office. The other reviewer was right when they said that Argyle Street serves kibblle. �Simply it continues to simply serve fresh, reasonably priced, tasty Vietnamese food in a warm and welcoming manner.",5,0,0,0,1,N7juvW8YoFIj7sEBzVF8GQ
4/8/2009,UPOqylkTn02Of63cUJ7J6A,lCbuAz7PCsYPs9LxmWT9qA,"If  you want to spend $20.00 on a hot dog, fries and a shake this is the place.Great food and also The most EXPENSIVE Hot dog i have ever had.",4,0,0,0,1,FCcgXODBs6O7MGH3VZNyLQ
5/12/2009,9aSKXduy70mL7xLIt1kKww,z6zFYx6Chhkibtb9oa5n5g,"WORST sushi in Chicago! If you want unfresh seafood that could make you sick, go for it. Otherwise, steer clear because there are far too many great sushi places in Chicago. I am honestly so confused by all of the great reviews. It is disgusting!",1,0,0,0,1,1g52-6WzlhjIOpNAsBjPJg
11/15/2011,Zsqcr-VBK11PjLJUEdJGoA,_-kutFMpyqIrW9Zank3oNg,"This place is a joke, such a disappointment.  Way over priced, don't think there was more than 1 bottle of wine under $100.  Tasting menu should be called the tasting foam menu.  I would never go back even if they offered me a free meal.",1,0,0,0,1,LlHEzxQTiiLJokn2tli35A
5/9/2012,f6N0BmRcHwScF2dYAsYS-g,fRTd5YbUjv75_wcXlUKmTg,"Long wait to get in, usually a good sign.Service wasn't very good.Portions are very large and they are pretty pricey.The food wasn't that good. Pita Inn is FAR better, at a fraction of the cost.I had the Soltani, which is a combination of Barg and Koubideh. I added Chenjeh kabab to the combo. Very disappointed in all three of them. I could have gone to a steakhouse and had much better results than the meal presented to me at Noon O Kabab.Ordered the Dolmeh for my gf, and it was good. She had a vegetarian meal, Adass Polo, with chick peas and rice. It was alright. Kind of bland, but better than the kababs I ordered. If Kabab is in the name of the restaurant, it should be better than a vegetarian option on the menu - it should be the best thing on the menu.Large portions of subpar food isn't going to win me over, especially at the inflated prices.I will not be going to Noon O Kabab again, nor would I ever recommend it to anyone.",1,0,0,0,1,8j97C2qR95tvpbGtoFxEAw
4/21/2010,SIKwXbCAafks-cpyR8aljg,79JWx6FTfWk6YzEI25i13Q,"Couldn't wait for this place to open and I am happy it is here, but after dining three times I have to admit I expected more based on all the hype.Wait time for a table has been normal, but the wait time between courses can sometimes get annoyingly pronounced.  Some of the dishes are literally a few bites (like the less than average ravioli pasta with foam - skip it) but then you will sometimes wait for 20 minutes for the next few bites.  Maybe they sell more drinks that way?The pub food options are solid in general, but the more adventerous options usually end up being misses, the exception being sweetbreads, but then again I love sweetbreads!  Go with a small group and order more than you think you should eat and it works out pretty well. Will be a frequent diner based on location really, it's close to my best friend's new place.",3,0,0,0,1,m5_GCJP2W4zEJnyVgxa3eA
7/25/2010,DAwRCgTK76mw26jB05L7Bg,Be3R1Hex7TFYQoa264h7tQ,"Went for Sunday brunch, and even though it was crazy busy, the staff was still friendly and did not let their frustrations show. Its a tad pricey, but the portions are huge and will certainly fill you up. The menu is small but varied and everything my party got was filling and delicious! It gets four stars rather than five though, because i got the weakest bloody mary ever! I tried spicing it up with sriracha and tabasco and pepper to no avail. Stick to the food, its delicious, but this is not the place to get a little hair of the dog.",4,0,0,0,0,qqax04alS3UPx0Yp4jJNDQ
10/11/2008,Vt9zEpnwN8Iie6EefKp6Nw,ur6P5a7HZIF7s10Wpa78-Q,"GREAT AUTHENTIC VIETNAMESE FOOD HERE!I love this place!  The soup noodles are very good and very authentic considering Chicago.  I highly recommend soup noodles from pho to bun rieu (tomato based soup) to bo kho (stew), etc.The vermicelli noodles or rice dishes with meat, shrimp, fish sauce falls more in the average category.  But definitely decent considering your choices in the area.  The prices are also very fair.  You can enjoy a meal for about $10 per person easily.  Best of all, the service is amazingly fast and orderly considering how busy they get.  Overall, great noodle soup for good price!",5,0,0,0,1,ALwH81_sqskLmwfWS-_eeQ
10/19/2010,MZwN0B1mhWsKvbAlN0no5Q,1WBxJ2r3A2QYfRSEzgcmkQ,"Shaw's. Damn you know how to put on a good show. I've always loved the place for its cool as a cucumber 50's vibe, it's amazingly fresh seafood and incredibly fresh and diverse oyster menu. But I never knew you liked to party, too! Chalk me up for my first Royster with the Oyster event. We were lucky enough to get on the list for the Tuesday slurp off - twelve contestants slurpin' down a dozen oysters as quickly as possible without using their hands. I feel like I did okee for a noob - suckin' down 9 oysters before ""Two-at-a-time Tony"" next to me put his big paw in the air as the winner. I felt honored just to be in the same field as a living legend. We came back on Friday for the big tent event. Great bands playing da blues, sudsy brews and amazing food - including a butterific lobster roll, fried jumbo shrimp, tasty jambalaya, and, of course, cold as the North Sea oysters. It was a pearl of a time and I'm already looking forward to next year. No worries though, I'll be back in at Shaw's oyster bar when that goober mood strikes.",4,3,2,3,0,dKcO9OQ44RPRlkWe-vToFA
11/24/2011,5jcHXm6NZlONEOWizX-zRQ,E12-CAAkYb48Ja_r8Jvujg,Everything on the menu is delish. The pork medallions are crazy good. Guava empanadas are awesome and worth trying. Come when there's live music to get the full effect. Waitstaff is very helpful w/ uncertain customers.,5,0,2,0,0,mCHto10PBQOKnefm7gholg
4/30/2011,9kToBgUGKhbWYyGUq7NkgA,00zKAyvbmWig59SoEGyHLw,"I recently went to piece to celebrate my birthday with some friends. We didn't make a reservation, because that's not how we typically roll, and it was a last minute decision. The staff was extremely accommodating, and friendly. Mark, the host was more than happy to help us, and Ryan our server was delightful, even though he was kind of busy. The food and the beer were fantastic. I don't have one bad thing to say about this place...if you're thinking about going, stop thinking, and just go.",5,0,0,0,0,Z2nOMPedr7XYhgYhILJjEA
12/30/2010,xcRghXStsOjGckGvZliRUA,9J0PMQYE1cRJCzVwtfDDmg,"They've got a vegetarian burrito that will ruin all other burritos for you forever.  If you are not a fan of mushrooms, zucchini, and plantains in your burrito (I know a lot of you freaks are out there) then you will still be satisfied.  Their menu has something for everyone.This place has one chill atmosphere, too.  It is great coming here in the summer time.My only VERY REAL complaint is that every single time I've come here, they either forget to put Jalepenos in my burrito (which is the case 90% of the time) or so many jalepenos that you can't taste anything else.  I would recommend asking for jalepenos on the side, though, you might have to ask more than once.But definitely go, it is BYOB, and there is an excellent liquor store conveniently located across the street.  It is also cash only, but (also conveniently) there is an ATM inside.",4,0,0,0,1,F7IQngaDDBgYvhA3U31q-g
9/15/2010,llYQHcFNRpNHqZ1QBEGP8A,znjofauLsB_eRd7o7mroeA,"Pretty good.......for vegetarian food!I came in here not knowing that the vast majority of their menu is vegetarian. I got hummus for an appetizer (great!) and the buffalo wrap as an entre (very ok). However, being a vegetarian place, I was surprised at the variety of food available on their menu. I'll definitely suggest this to my vegetarian friends and take them here whenever they visit! I'm not sure I'd come back here in the near future, due to my love for the meat but i thought i'd push it to 4 stars for being vegetarian friendly!",4,0,0,0,1,o54U2VkQama8FI30qDkWvw
9/14/2011,oxm-mDOuRVqZeJz9ve2grA,wF2SNKSkVa0tYM5fuQbZSA,I think you would be crazy to think this place is anything less than 5 Stars,5,1,1,0,0,43rd1LKcZRIunySzbMsyLQ
12/8/2010,mdH2aLnO2-f5-QlAae1k6A,3cRaCZ1yhBn3X5SXNvlTDQ,"Zed was a great experience. I went with a group of friends and it was perfect. I love their funky decor which is modern yet provides a chic-lodge feel. On top of the great rooftop bar, their food is delicious and is great for groups since there is a large selection even for vegetarians.Definitely a great and fun place to go with friends whether for a cocktail or an entire meal--you won't be disappointed!",4,0,0,0,1,d6UbRb9W5eA1yL-DuVZ8ug
10/2/2010,zECXRrCeQhzauTnMcm5gWg,kPhHUgCN2gP5XzF4UPZO7A,"The worst, worst, worst Vietnamese restaurant I have ever been to. This restaurant with all the reviews are for foreigners and/or non-natives who has never been to a Vietnamese Restaurant before and/or have never had Vietnamese food before. The noodle soup is bland. The glasses are dirty, with water spots, oil spots. I am glad it failed inspection because it is filthy there. The service is terrible. I will never go there ever again. The restaurant is by far the worst restaurant I have ever been to, it is filthy, noodle soup is bland, and other dishes are flavored disgustingly. There are much better Vietnamese restaurants in the area. This is the worst Vietnamese restaurant in the area of Chicago, and this restaurant will definitely not survive in California. It is doing well because there's a small number of Vietnamese restaurant in Chicago, but definitely the worst I have ever been and I have been to California, and worldwide. I do not recommend this restaurant at all & it does not deserve one star. It does not deserve a star at all. The dishes, glassesware & utensils are filthy and the quality of the food is bland and terrible, a very substandard Vietnamese restaurant.",1,0,0,0,1,ALwH81_sqskLmwfWS-_eeQ
8/13/2009,cULzl3LAWwAQJH4FUVRJNw,OszBcOGTgZaB87ea4U5Bcg,"This place serves pretty good pizza! Unfortunately, it's hard to know what they have to offer - the waiter will tell you, but if there's a line, he probably won't tell you slow enough to register what's what. Not a huge problem; something they have will look good, and you'll be happy.",3,2,2,2,0,tW2jfL-qMccAYZSghPBbHA
3/25/2009,CIvFSi94rn7n5S3FRFzj2g,ZHqqOASmKUVaiv4t_twlVA,"I love the decor and interior of the restaurant, it's huge! But it screams Cheesecake Factory..I'm not sure who's been around first?Service: The wait was short about 15 minutes (lunch and dinner)The hosts and servers were really friendly and helpful. Though somebody could have cleared the plates off our table faster. We almost got full on the bread before our orders actually came so service was a little slow.Food:I had a little of everything. The pasta tasted undercooked and the sauces were bland. The chicken parmesan was the only dish that I couldn't go wrong with.I would go back to try more stuff since it might have just been a bad first experience.",3,0,0,0,1,4wreIFjaPMppyEnzKHbozg
10/30/2011,LhqRUaSVdccm5aiYmMaVdQ,mW3jLxmUjUM3mhtxzxp-8g,One of the best places to grab food at if you have a morning hangover.  Great pho is a cure it all.,5,0,0,0,1,ALwH81_sqskLmwfWS-_eeQ
