description,rating,ispromotional,isirrelevant,notvisited,author,company_name,policy_type
"{'en': ""At night looking for dessert, you can try coming here. Various hot and cold desserts are available. it's just that you have to be prepared to queue, especially on weekends. the price for 2 courses is around S$10, I tried mango pomelo and black bean. Mango pomelo must be tried, it's really delicious""}",5,0,0,0,Putri Utami Ruswandi,ahchews,Clean
"Probably one of the best Mexican food places in SG. Loved the loaded nachos that came witih chicken, loads of guacamole, cheese Will go back for more",5,0,0,0,Unconventional Passionss,google_reviews,Clean
Traditional desserts place which is our go to after dinner at bugis. Love the ah balling and you can also order a half half of almond and black sesame paste.,5,0,0,0,Vincent F.,ahchews,Clean
"{'en': ""Best Mexican I've had in Singapore (but the bar is low). Expect a wait if you go during peak hours but they seemed to turn over tables relatively quickly. Food is not too expensive and portion sizes are big. The pork Al pastor burrito is the best. Loaded nachos also good, and had flavorful guacamole. Fish tacos are fried nicely. The churros are BOMB and not too sweet""}",5,0,0,0,Yuchen L,scarps,Clean
"I have only been here twice but it is my favourite brunch place ever! Food is far superior to many other supposedly nice cafes (cough PS cafe). Also, this is only cafe i have ever been to where the food in real life looks way better than the pictures lol Wait staff are also very attentive and nice - one of them saw me blowing my nose and offered me hot water which was effective af. Ambience is great too and nestled at a corner in Chijmes. 10/10 would recommend",5,0,0,0,Alyssa Low,dough,Clean
"Having lived in San Diego for a few years, I feel pretty confident when it comes to reviewing Mexican food and Huevos does a great job. We ordered the chicken chipotle quesadilla, fish tacos, and elotes. The quesadilla was excellent: packed with chicken and cheese, definitely not thin or skimpy, and nicely garnished. The fish tacos were also solid, although the toppings were a little overpowering if you ate it blindfolded, you might not immediately guess it was fish. Still, it was a great taco overall. My only real complaint was the elotes. For the price, getting only one cob of corn felt a little disappointing. It was grilled rather than steamed or boiled, and compared to what I’m used to, it was pretty lightly seasoned. I usually expect elotes to be dripping in butter and spices this one felt a little bare, which was a letdown since elotes are one of my favorite Mexican foods. Overall, I can’t say anything bad about the place. I’d definitely recommend it to a friend, and it’s somewhere I’d feel confident taking a Mexican friend to as well. Bonus points for having Modelo, Jarritos, and Tapatío seeing a Modelo in Singapore almost made me do a backflip.",5,0,0,0,Kalib K,google_reviews,Clean
"Love the friendly staff at Huevos! My friends and I came here for the first time to celebrate my birthday, they even gave us free brownies ! Would definitely come back again and enjoy the food. Food wise, well seasoned, taste authentic and don’t forget to add their signature sauce ! Once again, thank you Huevos for the memories and good service :)",5,0,0,0,Adel11 01,google_reviews,Clean
"Be ready to queue for an hour or so. 😝 Do give their priciest pasta a try! Al granchio e limone ($26) topped with visible blue swimmer 🦀 meat and drenched with flavourful lemon sauce. The cacio de pepe was a bit of a miss for me, as the pasta was undercooked ~""too chewy"".😄 However, the crispy guanciale completely turned my day around!😋❤️ Be ready to queue for an hour or so. 😝 Do give their priciest pasta a try! Al granchio e limone ($26) topped with visible blue swimmer 🦀 meat and drenched with flavourful lemon sauce. The cacio de pepe was a bit of a miss for me, as the pasta was undercooked. However, the crispy guanciale completely turned my day around!😋 😍The open kitchen was a treat, as we enjoyed watching our pasta being expertly prepared to the tune of classic Italian music. Despite the bustling crowd, the ambience remained peaceful and relaxing. We finished off with a good portion of melt in the mouth Tiramisu 😋 Overall, it was a wonderful dining experience at the restaurant (minus the queue)! Loving the service...that was warm and attentive, striking the perfect balance between casual and professional. 🤩💕",5,0,0,0,C S,scarps,Clean
"🥟 The sharing set comes amazing dumplings with unique flavours (Duck, Mentaiko sauce, Curry powder, Mayo, Soy sauce). 🍝 The noodles are well done and seasoned well. The fried onions gives it a good crunch. The service was amazing. Props to the staff who accommodated us well even though we were walk ins during the busy evening dinner time. He was able to get us a table after telling us to wait for a while 😊",5,0,0,0,Jarome Ng,DD,Clean
"Ordered nachos, fish tacos and pulled pork quesadillas! The nachos with guacamole was ok. The cheese in the quesadillas was very nice and the fish tacos was very crispy. Do expect a long queue if you come late.",5,0,0,0,YQ Lau,scarps,Clean
Really good Mexican food. Service is great with very friendly staff. In particular enjoyed the calamari.,5,0,0,0,Ali Jumabhoy,scarps,Clean
"Liang Seah street is closed off on Saturday and Sunday evenings, turning the whole area into a bustling open-air dining experience. The vibe is lively yet relaxed….perfect for enjoying a bowl of their refreshing mango sago 🤤 or ah-ma’s black sesame paste 😋under the evening sky. The desserts taste better when paired with this outdoor energy! 🤓",5,0,0,0,Enrol Wehc,ahchews,Clean
SO FREAKING GOOD…. every bite was a flavour explosion oh my goodness. a bit on the pricey side but i can say it’s 100% worth!!! i literally dream of the fish tacos. you might want to go early bc queues form fast after they open!,5,0,0,0,jay k.,google_reviews,Clean
Friendly service and rich taste of dumpling! Can try many type of fried dumpling with a good drink. Dessert is a sweet secret 🤫 …,5,0,0,0,YU-FENG CHEN,DD,Clean
"The quesadillas and burritos are simply delicious. Had chicken and pork, both were great. Their homemade chili are amazing. Very hot, but definitely worth the challenge! The burrito is so huge, very well worth the money. Quesadilla is crispy and yummy. Super great service by the staff, friendly and thorough with their explanation of the different types of chili available.",5,0,0,0,XY,google_reviews,Clean
First time trying Ah Chew dessert at Liang Seah Street.. Order Yam Paste (hot) and Durain Mango Pomelo (cold) Yam paste was good.. Pomelo a bit bitter.. If pomelo is those sweet type will be best.. Anyway price ok and can go again!!,5,0,0,0,ah new,ahchews,Clean
"The original dumplings were the best, and the Soyou Mushroom Noodles were also good.",5,0,0,0,요쿠마,DD,Clean
"Repeated visits over the years! Their lunch deals are a bang for buck but dinner vibes are so on point too. The noodles never disappoint, generous portions and dumpling always fried/cooked to perfection. The pierogi dumplings is an easy favourite, with the sriracha crema dressing before the perfect cherry on top. Dont give their dessert dumplings a miss - the poached pears fried dumps reminds me of apple pie, and their vanilla ice cream is rich and aromatic, with visible vanilla pods. Reservations are recommended in advance, as they have limited seating",5,0,0,0,Wei Qian (Sandy),DD,Clean
"Went to both outlets and food is always on point! Repeated orders were their loaded nachos. The chicken used was so tender, not dry at all, guac was fresh, and it was a mountain enough for 2 pax! Queues are just really long so I hope for more outlets!!",5,0,0,0,Shan Khoo,scarps,Clean
"Visited twice in two weeks because I enjoyed the food and ambience so much. For two people, we ordered pickled bean sprouts, pickled black fungus, dumpling platter of 15, miso mushroom noodles, longan osmanthu pu-erh, and bottomless artisanal hot tea, all of which served promptly by the attentive staff, who also accommodated my seat-related request. Definitely recommend making a reservation, and noting the time limit of 1 hour for dinner.",5,0,0,0,W,DD,Clean
"Tacos were really loaded, fresh and flavourful. Servings were all generous. A definite recommend!!",5,0,0,0,Jesslyne Lee,google_reviews,Clean
One of the best Mexican places in Singapore. Generous portions and good value for money. Recommend the Baja Nuggies and Baja Fish Tacos!,5,0,0,0,Yihui,google_reviews,Clean
"This Mexican food is highly recommended. We ordered Overload Nachos, Tacos - beef and fish, pino colada, margarita. The portion is generous and quality. Overall the food and cocktail is excellent. The meal is so satisfying and will definitely return again. It’s best to plan your reservation in advance, otherwise be ready to queue at least 20-40min during peak hour.",5,0,0,0,R T,google_reviews,Clean
"The best Mexican restaurant I’ve ever been to so far. Every dishes here are amazing, tasty and fresh. My favorite is fish tacos which comes with hot and crispy baja piece, mixed well with the sauce. Quesadilla was filled with lots of mushroom and cheese. Not really interested in the loaded nachos but it came with a huge portion. Every dish was served hot. We have to get the horchata (strong sense of cinnamon) and agua fresca (so fresh with watermelon juice and mint leaves) every time. The staffs are super friendly and helpful. Would be long queue during peak hour but they will open second floor so the queue will move quite fast. The place might be a bit noisy sometimes due to the soundproofing. This is the place that I will remain coming back for sure. Affordable price with delicious food!!",5,0,0,0,Megan Ng,google_reviews,Clean
Great food here but the queue situation wasn’t handled very well. It’ll be good to give us online queue numbers. Waitress wasn’t very friendly.,5,0,0,0,Denise T,scarps,Clean
"{'en': ""The pierogi dumplings are my fav! The smoked duck dumplings are more ordinary. The iced passionfruit ginger soda adds a refreshing touch to the entire meal. Reservations are recommended as they're usually booked out.""}",5,0,0,0,Shandy L.,DD,Clean
"Food was amazing!! Highly recommend the Loaded Nachos, Chipotle Chicken Quesadilla and Baja Fish Tacos, especially the last one. The portion was huge and we ended up having to takeaway our leftovers. Price was super reasonable and the food was worth every penny. Service was great and staff was really helpful. The only thing is you have to make a reservation as the queue is quite long. Eating time is limited to one hour, but since the service is really fast, that’s okay too. This might be my new favourite restaurant!",5,0,0,0,enoch k,scarps,Clean
"{'en': ""Traditional dessert shop that brings back childhood memories. From peanut soup, to tarp, to black glutinous rice to mango sago, there are literally over 30 choices on their menus (yep, I didn't count). If you enjoy ice cream, highly recommend you add a scoop to the dessert. Makes it just that much sweeter.""}",5,0,0,0,Hoe Bing Lo,ahchews,Clean
"{'en': ""An awesome place to enjoy great Mexican food at a decent price. Can't really comment on authenticity, but you can't go wrong with layers of melted cheese, onions and guacamole blanketing crispy nacho chips. I recommend the quesidilla and loaded nachos. Only gripe is the suuuper long queue in the hot outdoors. I would say it's worth to try once, then decide if you ever want to queue again!""}",5,0,0,0,JK Chow (Jingzyy),google_reviews,Clean
"{'en': ""Tried their hot steamed milk w papaya n cold yam sago. Enjoyed it. Queue seems long but it's moving quite fast. Tried their Red bean soup w lily bulb too previously, love that. Sadly, it's sold out when I reached this time.""}",5,0,0,0,Celestine Kau,ahchews,Clean
"This mexican joint lives up to its hype & queue! Arrived at 6pm on a Saturday and we had 3 parties ahead of us and many joining after us. Baja Fish Tacos ($17 for 3) was so yummy! Fish was crispy and well fried, balanced purple cabbage toppings and the spicy sauce was so good. My friend had the Chipotle Chicken Quesadilla ($16) and the meat was dripping with juices. Churros ($9.90) came freshly fried and warm! & the chocolate ganache was thick, likely high quality dark choc. Will definitely be back in the near future to try out their burritos and nachos! Probably aim reach a little before opening at 5pm to avoid the queue.",5,0,0,0,Alicia Tan,scarps,Clean
"Cozy, but delicious. Loved the veg dumplings and miso mushroom noodles",5,0,0,0,Dedrick Kline (_mr_deedz),DD,Clean
Would highly recommend the honey watermelon sago and steamed milk its toooo good. Everything else was also tasty. Nice interior and vibes. Also was not too crowed when we went. One thing is service could be a little better.,5,0,0,0,NM,ahchews,Clean
"Highly recommended for those looking for a tasty, quick, and filling bite - especially people working in the CBD looking for a lunch time treat. The lunch set is a great deal for ~SGD 15 coming with a bowl of noodles, dumplings, and a refreshing drink. When possible, make a reservation because this place fills up quick after opening. Note: Last visited in Aug-2019 on a weekend.",5,0,0,0,Gabe,DD,Clean
"{'en': ""Be prepared to queue when coming here. Service is quite slow but the good food makes up for it. I've tried a few Mexican places but Huevos has one of the biggest and most delicious tacos. Very value for money. The portions are bigger compared to other places""}",5,0,0,0,Nat N,google_reviews,Clean
The best dessert place in Singapore. The place is small and cosy. The queue is move fast. So worth to wait and trade off with yummy and delicious dessert. Must try their mango sago and durian dessert.,5,0,0,0,Michael Yap,ahchews,Clean
"Probably one of the best Mexican food places in SG. Loved the loaded nachos that came witih chicken, loads of guacamole, cheese Will go back for more",5,0,0,0,Unconventional Passionss,scarps,Clean
"{'en': ""my wife regarded this as the best Mexican food in town. I can't agree more - we can really sit there and eat all day long, but we know we can't hoard the seat because it's a relatively small space. prices are generally wallet-friendly but we all know Mexican food is never really cheap in Singapore, which is quite an irony, since many of them are street food. Nice interior with cool mural. waiting period for food is tolerable despite high volume delivery orders and full house. sauces are too spicy to my liking, but the taste is authentic. am clueless about the food name but the fish in the wrap, that's a bomb, even for non-seafood persons like my wife. the Mexican drinks are surprisingly affordable unlike many other restaurants - the co-owner told us they want more people to try and love Mexican food for awareness - brilliant. perhaps the only problem is the difficulty in looking for car park nearby but well worth the hassle!""}",5,0,0,0,mark . m,google_reviews,Clean
"Really great food that won’t break the bank! The place is pretty small so do expect to queue for a bit, but it’s worth it. The spiced fish and beef tacos are sooo good!",5,0,0,0,Olivia,scarps,Clean
I would say hands down one of the top fuss free Mexican places in Singapore😍 It’s really affordable but they definitely do not skimp on the flavour! Must gets are definitely the nachos and baja fish tacos🤤! …,5,0,0,0,Bevlyn Tan,google_reviews,Clean
My wife and I had a lovely meal. Best Mexican food we’ve tasted. Scallop Ceviche was amazing. Loaded Nachos was really ‘loaded.’ Birria Beef & Baja Fish were yummilicious. Shaken margarita was simply delightful. Will definitely bring family and friends.,5,0,0,0,XingDe Chen,scarps,Clean
"Yeeeeaaaaaaapp Perfect fix for taco cravings. Get the beef birra tacos of course. Umami and satisfies all birra desires The fish taco is spicier than the others but I liked it a lot. Get the quesadillas, chicken, extra chicken, extra cheese. This is actually superior to birras in my opinion. The pico de gallo is a lovely accompaniment to this Normal chicken tacos are nice. With the avocado which are a nice break. I ate all of this and thoroughly enjoyed it",5,0,0,0,Jerome Lim,google_reviews,Clean
"{'en': ""Have visited multiple times, never fails to deliver. Be prepared for long queues on Friday/weekend nights though. Once upon a time I had their beef tongue quesadilla? Was told it was seasonal. Please bring it back it was amazing :')""}",5,0,0,0,Lee Zhi Peng,google_reviews,Clean
"Ordered the dumpling platter of 15 which allowed you to try various flavors and the dried pierogi was really good that we ordered more of it. We had XO prawn noodles and miso mushroom noodles too, both of which were nice. The restaurant was a bit small so do make reservation in advance to avoid disappointment!",5,0,0,0,YQ Lau,DD,Clean
I chose this little place reading the reviews on Google and taking into account that I was staying in Chinatown. I liked it right away. Warm atmosphere and smiling and helpful staff. The dumplings were also fabulous. They melted in your mouth in a riot of flavors. All accompanied by an excellent cold local beer. I ended the game with some sweet dumplings filled with pears and washed down with Tasmanian honey. Exceptional! Reasonable prices. Go there!,5,0,0,0,Alessandro Balani,DD,Clean
"{'en': ""The dumplings were SPECTACULAR, especially the duck one 😍 ABSOLUTELY highly recommended, I'll definitely go back. …""}",5,0,0,0,Francesca Bizzotto,DD,Clean
"The quesadillas and burritos are simply delicious. Had chicken and pork, both were great. Their homemade chili are amazing. Very hot, but definitely worth the challenge! The burrito is so huge, very well worth the money. Quesadilla is crispy and yummy. Super great service by the staff, friendly and thorough with their explanation of the different types of chili available.",5,0,0,0,XY,scarps,Clean
We had a quick dinner here. Be sure to make reservations before coming down. There is also a limit of 45m dining time. Noodles is good and so are the dumplings. The braised pork noodle and the original dumplings are highly recommended!,5,0,0,0,Ben Cho,DD,Clean
great service from the crew and food to match as well. very reasonable prices for the quality of food. had a counter seat and observed the bartender had a lot of pride in his work. great sample of different types of dumplings with good flavours. should give it a try. keep up the good work team.,5,0,0,0,feodor mak,DD,Clean
"delicious! it is famous so we had to queue for a while but it was worth it. We had the famous mango sago and mixed fruits, and all were cool and refreshing, suitable for a Singapore hot and humid night.",5,0,0,0,Yến đây,ahchews,Clean
"The food was really good, we got their loaded nachos and tacos. Even though we had a reservation, they were really packed and the staff was really busy so we had to wait quite a while. They also accidentally gave another table our tacos and we had to wait for an additional 20 mins after finishing the nachos. Would definitely recommend making a reservation before going though, I went on a Monday afternoon and it was packed. I would highly recommend going for the food though, it was amazing!!",5,0,0,0,Ang Wei Lin,google_reviews,Clean
The burritos and quesadillas are really well done and flavourful. They provide salsa with diff level of hotness. Even the lightest packs a punch so add with caution. Will definitely come back for my Mexican food fix!,5,0,0,0,Joash Quek,google_reviews,Clean
"Went on Friday night. Didn\'t have to wait long for a seat (maybe because it\'s dinner time) but the place was full. Was sitting inside because of the hot weather but it\'s packed, so expect the table beside you to hear your conversation and vice versa. Many desserts to choose from - the grass jelly I had was good, it was hard, solid and wasn\'t ""tasteless"". Would need a few trips to try out its many other desserts",5,0,0,0,Jeremy Chong,ahchews,Clean
"{'en': ""Some people say this place is overrated, but for me, waiting an hour in line was absolutely worth it. Our favorite dish turned out to be the beef steak from their special menu, perfectly seasoned, crispy on the outside, and tender and juicy on the inside. Over two visits, we tried six different pasta dishes, and each one stood out with its own unique flavor. Every plate was thoughtfully prepared and delicious. If you're looking for a fine-dining atmosphere, this might not be the spot for you. The one hour dining limit and high chairs make for a more casual experience. But if you’re after authentic, high quality pasta at a reasonable price, this place is a must visit. I’ll definitely be coming back!""}",5,0,0,0,Yan X.,scarps,Clean
"{'en': ""Great little taco place. Prepare to queue though. Price is cheaper compared to other taco joints. But taste and quality are excellent. Nachos was crispy and thin. The quesadillas was meaty. And tacos was simply the best. There was a dipping sauce which enhanced everything you dipped into. Must try all the salsa, you can ask for milk if it gets too spicy. The cocktail was interesting, red & sweet at first, but after a while it got brown and stronger... In overall I'll definitely will come again and will try different menu.""}",5,0,0,0,Kenrick Widjaja,scarps,Clean
Didn’t try the drinks but the savoury menu here is really good. The tater tots (both honey butter and mentaiko) were heavenly. The kombu scone was very fragrant as it was filled with the chives. I came twice in four days.,5,0,0,0,Blue Blie,dough,Clean
"I was introduced to this place by my Friend and we used Burpple Beyond for this meal. We dined as a 6 pax so we decided to get one of each dumpling flavour since we could get 6 set lunches. Each set lunch came with a drink and 4 dumplings as a complimentary side dish. I really liked the miso mushroom noodles as it was really tasty and went well with the dumplings. The passionfruit sofa ginger soda was really refreshing too, which really helps especially since the Singapore weather has been quite unforgiving of late. My top three favourite dumplings has to be the fried pierogi, the smoked duck and the original flavours. Vegetarian and Vegan friends will be happy to know that they can dine here as they have vegan options as well :)",5,0,0,0,Chen Zhi Lin,DD,Clean
very crowded here but i got served pretty quickly after 10mins of queue. I ordered the classic mango dish with one ice cream. Tastes nice. You guys should come try it here when in SG,5,1,0,0,ayowutudu,ahchews,Promotional
